Dactylosporangium aurantiacum strain DSM 43157	35754
Dactylosporangium cerinum strain NEAU-TPG4	1434730
Dactylosporangium darangshiense strain DLS-44	579108
Dactylosporangium fulvum strain DSM 43917	53359
Dactylosporangium luridum strain BK63	649008
Dactylosporangium luteum strain BK51	649007
Dactylosporangium maewongense strain MW2-25	634393
Dactylosporangium matsuzakiense strain DSM 43810	53360
Dactylosporangium roseum strain DSM 43916	47989
Dactylosporangium salmoneum strain NRRL B-16294	53361
Dactylosporangium siamense strain MW4-36	685454
Dactylosporangium solaniradicis strain NEAU-FJL2	1758122
Dactylosporangium sucinum strain RY35-23	1424081
Dactylosporangium thailandense strain <Unknown strain>	47849
Dactylosporangium tropicum strain KB2-4	555455
Dactylosporangium vinaceum strain DSM 43823	53362
Sabulilitoribacter arenilitoris strain HMF6543	2044858
Sabulilitoribacter multivorans strain M-M16	1304750
Delftia acidovorans strain IAM 12409	80866
